Dataset_Type,Week,Month,Day,Food,Drinks,Transportation,Laundry,Total_Expense,Daily_Budget,Budget_Status
Train,9,Month 3,Friday,57150,17100,39950,0,114200,175000,WITHIN_BUDGET
Train,9,Month 3,Saturday,68600,20400,44800,0,133800,175000,WITHIN_BUDGET
Train,9,Month 3,Sunday,62600,17750,37950,0,118300,175000,WITHIN_BUDGET
Train,10,Month 3,Monday,57150,16400,37800,0,111350,175000,WITHIN_BUDGET
Train,10,Month 3,Tuesday,52950,14300,32000,0,99250,175000,WITHIN_BUDGET
Train,10,Month 3,Wednesday,55550,17050,36400,31800,140800,175000,WITHIN_BUDGET
Train,10,Month 3,Thursday,55900,15000,32000,0,102900,175000,WITHIN_BUDGET
Train,10,Month 3,Friday,60050,16850,42050,0,118950,175000,WITHIN_BUDGET
Train,10,Month 3,Saturday,69050,20300,46250,0,135600,175000,WITHIN_BUDGET
Train,10,Month 3,Sunday,64850,19700,41300,0,125850,175000,WITHIN_BUDGET
Train,11,Month 3,Monday,57400,15700,35850,0,108950,175000,WITHIN_BUDGET
Train,11,Month 3,Tuesday,48700,14400,32750,0,95850,175000,WITHIN_BUDGET
Train,11,Month 3,Wednesday,55100,16750,36300,0,108150,175000,WITHIN_BUDGET
Train,11,Month 3,Thursday,52950,13400,32650,0,99000,175000,WITHIN_BUDGET
Train,11,Month 3,Friday,60700,17150,38700,0,116550,175000,WITHIN_BUDGET
Train,11,Month 3,Saturday,67250,21050,45550,0,133850,175000,WITHIN_BUDGET
Train,11,Month 3,Sunday,59050,18100,39700,0,116850,175000,WITHIN_BUDGET
Train,12,Month 3,Monday,58500,17350,37000,0,112850,175000,WITHIN_BUDGET
Train,12,Month 3,Tuesday,55800,15350,36450,0,107600,175000,WITHIN_BUDGET
Train,12,Month 3,Wednesday,59550,16350,38500,0,114400,175000,WITHIN_BUDGET
Train,12,Month 3,Thursday,58150,15500,33700,0,107350,175000,WITHIN_BUDGET
Train,12,Month 3,Friday,65850,19100,41000,0,125950,175000,WITHIN_BUDGET
Train,12,Month 3,Saturday,68150,22450,54100,0,144700,175000,WITHIN_BUDGET
Train,12,Month 3,Sunday,66150,20150,39550,25050,150900,175000,WITHIN_BUDGET
Train,13,Month 4,Monday,56950,16200,35800,0,108950,175000,WITHIN_BUDGET
Train,13,Month 4,Tuesday,49450,14100,37000,0,100550,175000,WITHIN_BUDGET
Train,13,Month 4,Wednesday,56050,15150,37500,0,108700,175000,WITHIN_BUDGET
Train,13,Month 4,Thursday,55850,14700,36100,0,106650,175000,WITHIN_BUDGET
Train,13,Month 4,Friday,63000,18650,41300,0,122950,175000,WITHIN_BUDGET
Train,13,Month 4,Saturday,66250,21850,51100,0,139200,175000,WITHIN_BUDGET
Train,13,Month 4,Sunday,64700,19400,39450,0,123550,175000,WITHIN_BUDGET
Train,14,Month 4,Monday,62350,16950,39250,0,118550,175000,WITHIN_BUDGET
Train,14,Month 4,Tuesday,56200,15950,34250,0,106400,175000,WITHIN_BUDGET
Train,14,Month 4,Wednesday,58300,18100,37050,30700,144150,175000,WITHIN_BUDGET
Train,14,Month 4,Thursday,56900,15900,37050,0,109850,175000,WITHIN_BUDGET
Train,14,Month 4,Friday,65850,19400,42300,0,127550,175000,WITHIN_BUDGET
Train,14,Month 4,Saturday,72850,21600,51500,0,145950,175000,WITHIN_BUDGET
Train,14,Month 4,Sunday,67900,21050,40900,0,129850,175000,WITHIN_BUDGET
Train,15,Month 4,Monday,60050,16150,37550,0,113750,175000,WITHIN_BUDGET
Train,15,Month 4,Tuesday,55350,14350,31700,0,101400,175000,WITHIN_BUDGET
Train,15,Month 4,Wednesday,55000,15850,39000,0,109850,175000,WITHIN_BUDGET
Train,15,Month 4,Thursday,54300,14800,37350,0,106450,175000,WITHIN_BUDGET
Train,15,Month 4,Friday,64600,18550,41750,0,124900,175000,WITHIN_BUDGET
Train,15,Month 4,Saturday,71700,21600,49850,0,143150,175000,WITHIN_BUDGET
Train,15,Month 4,Sunday,65500,18850,40950,0,125300,175000,WITHIN_BUDGET
Train,16,Month 4,Monday,65650,18850,43100,0,127600,175000,WITHIN_BUDGET
Train,16,Month 4,Tuesday,58000,14800,37850,0,110650,175000,WITHIN_BUDGET
Train,16,Month 4,Wednesday,63100,19700,40450,0,123250,175000,WITHIN_BUDGET
Train,16,Month 4,Thursday,62700,18000,38350,0,119050,175000,WITHIN_BUDGET
Train,16,Month 4,Friday,70550,19950,46100,0,136600,175000,WITHIN_BUDGET
Train,16,Month 4,Saturday,77100,22750,54600,0,154450,175000,WITHIN_BUDGET
Train,16,Month 4,Sunday,69850,20800,41150,26700,158500,175000,WITHIN_BUDGET
Train,17,Month 5,Monday,64000,17900,40450,0,122350,175000,WITHIN_BUDGET
Train,17,Month 5,Tuesday,55800,15500,37700,0,109000,175000,WITHIN_BUDGET
Train,17,Month 5,Wednesday,59450,17300,39350,0,116100,175000,WITHIN_BUDGET
Train,17,Month 5,Thursday,58450,16250,40100,0,114800,175000,WITHIN_BUDGET
Train,17,Month 5,Friday,68600,19700,42500,0,130800,175000,WITHIN_BUDGET
Train,17,Month 5,Saturday,73250,22800,50950,0,147000,175000,WITHIN_BUDGET
Train,17,Month 5,Sunday,66650,20350,42000,0,129000,175000,WITHIN_BUDGET
Train,18,Month 5,Monday,65300,17900,41950,0,125150,175000,WITHIN_BUDGET
Train,18,Month 5,Tuesday,58500,16300,38800,0,113600,175000,WITHIN_BUDGET
Train,18,Month 5,Wednesday,62600,18500,41300,30650,153050,175000,WITHIN_BUDGET
Train,18,Month 5,Thursday,58800,16500,38200,0,113500,175000,WITHIN_BUDGET
Train,18,Month 5,Friday,69000,20350,46200,0,135550,175000,WITHIN_BUDGET
Train,18,Month 5,Saturday,79100,23050,56000,0,158150,175000,WITHIN_BUDGET
Train,18,Month 5,Sunday,72950,21250,43950,0,138150,175000,WITHIN_BUDGET
Train,19,Month 5,Monday,67050,18100,42500,0,127650,175000,WITHIN_BUDGET
Train,19,Month 5,Tuesday,56650,15250,34300,0,106200,175000,WITHIN_BUDGET
Train,19,Month 5,Wednesday,60200,17250,42250,0,119700,175000,WITHIN_BUDGET
Train,19,Month 5,Thursday,56150,16200,38500,0,110850,175000,WITHIN_BUDGET
Train,19,Month 5,Friday,66800,19650,43800,0,130250,175000,WITHIN_BUDGET
Train,19,Month 5,Saturday,75750,21850,54300,0,151900,175000,WITHIN_BUDGET
Train,19,Month 5,Sunday,68200,20800,42650,0,131650,175000,WITHIN_BUDGET
Train,20,Month 5,Monday,70350,19350,45350,0,135050,175000,WITHIN_BUDGET
Train,20,Month 5,Tuesday,63750,17000,39050,0,119800,175000,WITHIN_BUDGET
Train,20,Month 5,Wednesday,66000,18950,45800,0,130750,175000,WITHIN_BUDGET
Train,20,Month 5,Thursday,64000,16350,41150,0,121500,175000,WITHIN_BUDGET
Train,20,Month 5,Friday,70800,19400,47800,0,138000,175000,WITHIN_BUDGET
Train,20,Month 5,Saturday,80500,24350,55800,0,160650,175000,WITHIN_BUDGET
Train,20,Month 5,Sunday,76150,22100,46300,26650,171200,175000,WITHIN_BUDGET
Train,21,Month 6,Monday,65200,18700,41700,0,125600,175000,WITHIN_BUDGET
Train,21,Month 6,Tuesday,59400,15400,38050,0,112850,175000,WITHIN_BUDGET
Train,21,Month 6,Wednesday,62150,18150,39950,0,120250,175000,WITHIN_BUDGET
Train,21,Month 6,Thursday,60850,17300,38500,0,116650,175000,WITHIN_BUDGET
Train,21,Month 6,Friday,70050,20050,42500,0,132600,175000,WITHIN_BUDGET
Train,21,Month 6,Saturday,81300,23000,56500,0,160800,175000,WITHIN_BUDGET
Train,21,Month 6,Sunday,74350,20300,44650,0,139300,175000,WITHIN_BUDGET
Train,22,Month 6,Monday,68450,18850,47250,0,134550,175000,WITHIN_BUDGET
Train,22,Month 6,Tuesday,65100,18050,40300,0,123450,175000,WITHIN_BUDGET
Train,22,Month 6,Wednesday,68200,19850,42600,30150,160800,175000,WITHIN_BUDGET
Train,22,Month 6,Thursday,64450,16250,39350,0,120050,175000,WITHIN_BUDGET
Train,22,Month 6,Friday,72600,20700,46150,0,139450,175000,WITHIN_BUDGET
Train,22,Month 6,Saturday,83300,24100,59250,0,166650,175000,WITHIN_BUDGET
Train,22,Month 6,Sunday,75600,21300,47800,0,144700,175000,WITHIN_BUDGET
Train,23,Month 6,Monday,68300,18100,41250,0,127650,175000,WITHIN_BUDGET
Train,23,Month 6,Tuesday,61100,16100,36700,0,113900,175000,WITHIN_BUDGET
Train,23,Month 6,Wednesday,63550,18800,43050,0,125400,175000,WITHIN_BUDGET
Train,23,Month 6,Thursday,59850,16450,37950,0,114250,175000,WITHIN_BUDGET
Train,23,Month 6,Friday,69150,19900,47950,0,137000,175000,WITHIN_BUDGET
Train,23,Month 6,Saturday,78800,23500,56350,0,158650,175000,WITHIN_BUDGET
Train,23,Month 6,Sunday,71650,21850,42200,0,135700,175000,WITHIN_BUDGET
Train,24,Month 6,Monday,72300,21050,46500,0,139850,175000,WITHIN_BUDGET
Train,24,Month 6,Tuesday,64600,18100,39250,0,121950,175000,WITHIN_BUDGET
Train,24,Month 6,Wednesday,69400,19950,45900,0,135250,175000,WITHIN_BUDGET
Train,24,Month 6,Thursday,65650,19450,41500,0,126600,175000,WITHIN_BUDGET
Train,24,Month 6,Friday,79500,21500,51250,0,152250,175000,WITHIN_BUDGET
Train,24,Month 6,Saturday,83950,27300,59850,0,171100,175000,WITHIN_BUDGET
Train,24,Month 6,Sunday,79550,22150,48150,27150,177000,175000,OVER_BUDGET
